salary,work_accident,satisfaction_level,time_spend_company,average_montly_hours,left
medium,0,0.57,2,248,0
medium,1,0.24,5,184,0
low,0,0.98,3,226,0
medium,0,0.94,10,247,0
low,0,0.92,5,248,1
medium,0,0.92,3,196,0
low,0,0.41,3,157,1
medium,0,0.62,2,255,0
medium,0,0.72,3,235,0
low,1,0.66,3,203,0
low,0,0.75,4,166,0
medium,1,0.97,10,238,0
medium,0,0.51,7,233,0
low,0,0.24,5,131,0
medium,0,0.85,6,240,0
low,0,0.94,2,164,0
low,0,0.76,5,262,1
low,0,0.14,6,108,0
low,1,0.53,3,226,0
low,0,0.11,4,310,1
low,1,0.11,5,300,1
high,0,0.75,3,243,0
low,1,0.74,6,196,0
low,0,0.76,3,192,0
medium,0,0.36,3,138,1
medium,0,0.9,4,256,0
high,0,0.63,2,169,0
low,0,0.67,3,186,0
medium,1,0.6,2,209,0
low,0,0.4,5,127,0
low,0,0.42,3,160,1
high,0,0.64,5,143,0
low,0,0.78,4,249,0
low,0,0.68,4,139,0
medium,0,0.72,2,256,0
medium,1,0.72,3,269,0
medium,1,0.89,2,185,0
medium,0,0.78,3,232,0
low,0,0.74,5,253,1
medium,0,0.84,2,266,0
medium,0,0.48,6,274,0
medium,1,0.96,3,252,0
low,0,0.94,3,211,0
medium,0,0.61,3,113,0
medium,0,0.66,5,269,1
low,0,0.49,2,218,0
low,0,0.7,2,245,0
low,0,0.82,3,150,0
low,0,0.98,2,188,0
medium,0,0.9,6,241,0
medium,0,0.74,4,135,0
low,1,1.0,3,216,0
low,0,0.55,3,207,0
low,0,0.12,3,200,0
medium,0,0.55,3,223,0
low,0,1.0,4,265,0
low,0,0.61,4,156,0
medium,0,0.85,3,214,0
low,0,0.81,6,238,1
low,0,0.77,2,215,0
medium,0,0.56,2,200,0
low,1,0.53,2,189,0
medium,0,0.61,8,103,0
medium,0,0.13,4,194,0
low,1,0.54,3,129,0
medium,0,0.87,2,246,0
low,1,0.64,3,145,0
low,0,0.97,2,201,0
medium,0,0.49,3,168,0
low,0,0.44,3,148,1
low,0,0.58,2,143,0
low,0,0.42,5,208,0
medium,0,0.59,3,211,0
medium,0,0.63,4,238,0
medium,0,0.7,2,233,0
low,0,0.97,3,196,0
medium,0,0.22,3,212,0
medium,0,0.91,3,240,0
low,0,0.86,3,153,0
low,0,0.54,2,172,0
medium,0,0.73,3,266,0
low,0,1.0,4,188,0
medium,0,0.85,3,167,0
low,0,0.53,2,271,0
medium,0,0.73,5,139,0
medium,1,0.9,2,225,0
low,1,0.7,2,181,0
low,0,0.19,4,192,0
medium,0,0.57,7,233,0
medium,0,0.77,3,153,0
low,0,0.75,2,224,0
low,0,0.75,3,214,0
medium,0,0.79,5,235,1
medium,0,0.73,5,252,1
medium,1,0.74,3,169,0
low,0,0.7,4,161,1
medium,0,0.86,3,149,0
medium,1,0.97,3,266,0
medium,0,0.42,3,202,1
medium,0,0.55,2,169,0
high,0,0.67,10,134,0
low,0,0.8,3,202,0
high,0,0.66,3,134,0
low,1,0.78,3,233,0
medium,0,0.15,6,201,0
low,1,0.91,3,214,0
medium,0,0.6,3,195,0
medium,0,0.95,4,270,0
medium,0,0.99,2,257,0
low,0,0.92,2,207,0
low,0,0.78,2,157,0
medium,0,0.88,3,255,0
medium,1,0.15,3,255,0
medium,0,0.71,3,172,0
low,0,0.22,4,169,0
medium,0,0.39,3,127,1
low,0,0.32,3,183,0
medium,0,0.23,4,213,0
high,0,0.85,10,185,0
medium,1,0.89,6,270,0
low,0,0.37,3,131,1
medium,0,0.98,2,132,0
low,0,0.11,4,261,1
low,0,0.54,2,245,0
low,0,0.43,3,157,1
low,0,0.88,3,257,0
medium,0,0.93,10,189,0
low,0,0.39,5,188,0
low,0,0.62,3,271,0
medium,1,0.5,3,177,0
medium,0,0.74,3,155,0
medium,0,0.67,2,202,0
medium,0,0.65,4,191,0
medium,1,0.3,4,128,0
medium,0,0.78,2,212,0
medium,0,0.7,3,173,0
low,1,0.62,2,245,0
low,0,0.86,3,183,0
low,0,0.52,3,241,0
low,0,0.95,3,263,0
medium,1,0.67,3,254,0
medium,0,0.57,3,221,0
medium,0,0.78,6,274,1
low,0,0.23,6,150,0
medium,0,0.55,2,215,0
medium,0,0.38,3,154,1
medium,0,0.43,3,157,1
low,0,0.67,3,193,0
medium,0,0.89,3,220,0
low,0,0.65,2,180,0
high,0,0.32,3,192,0
low,0,0.15,6,213,0
medium,1,0.65,3,157,0
medium,0,0.84,3,274,0
medium,0,0.73,6,283,0
low,0,0.15,3,98,0
low,0,0.43,3,139,1
high,0,0.73,3,214,0
low,0,0.83,2,257,0
medium,0,0.99,2,222,0
low,0,0.73,3,181,0
medium,0,0.49,2,156,0
low,0,0.54,3,100,0
low,0,0.19,3,145,0
low,1,0.65,2,224,0
medium,1,0.85,6,143,0
low,0,0.88,3,187,0
medium,1,0.47,3,112,0
low,0,0.63,3,101,0
high,0,0.1,5,297,1
medium,0,0.83,3,136,0
low,1,0.66,3,182,0
low,0,0.9,3,167,0
low,0,0.5,2,215,0
low,0,0.71,3,218,0
low,0,0.96,3,197,0
low,1,0.1,4,243,1
low,0,0.92,3,151,0
medium,1,0.63,4,151,0
medium,1,0.34,5,197,0
medium,1,0.48,3,162,0
medium,0,0.44,3,148,1
medium,0,0.82,4,198,0
low,0,0.47,6,169,0
low,0,0.75,4,135,0
medium,0,0.66,2,214,0
low,1,0.7,3,162,0
low,0,0.9,3,199,0
medium,0,0.96,3,193,0
high,1,0.8,5,144,0
low,0,0.52,2,183,0
low,0,0.14,5,144,0
medium,0,0.43,4,168,0
low,0,0.29,2,234,0
low,0,0.85,6,266,1
medium,1,0.43,3,239,0
medium,0,0.76,5,197,0
low,0,0.89,2,179,0
high,0,0.64,3,217,0
low,0,0.8,2,200,0
low,0,0.84,2,267,0
low,1,0.88,5,255,1
medium,0,0.38,4,159,0
medium,0,0.76,3,166,0
medium,0,0.13,3,225,0
medium,0,0.35,3,256,0
low,0,0.38,3,153,1
low,0,0.37,3,154,1
high,0,0.87,5,256,1
medium,0,0.09,4,292,1
medium,0,0.52,3,266,0
low,0,0.93,2,189,0
high,0,0.65,2,258,0
low,0,0.43,3,140,1
medium,0,0.3,2,224,0
high,0,0.45,3,122,0
low,0,0.82,3,234,0
high,0,0.59,2,162,0
medium,0,0.92,3,194,0
medium,0,0.5,2,178,0
low,1,0.67,2,107,0
medium,0,0.98,4,188,0
high,0,0.2,4,235,0
low,0,0.21,3,249,0
medium,0,0.12,3,236,0
low,0,0.65,3,195,0
medium,0,0.66,3,252,0
medium,0,0.44,3,117,0
medium,0,0.35,3,109,0
low,0,0.85,4,146,0
high,1,0.64,3,234,0
medium,0,0.09,4,275,1
low,0,0.67,4,280,0
medium,0,0.88,3,162,0
high,1,0.71,3,189,0
high,1,0.56,2,271,0
medium,0,0.52,2,225,0
low,0,0.35,2,227,0
medium,0,0.83,5,221,1
low,0,0.81,5,229,1
low,1,0.93,2,256,0
medium,0,0.11,4,294,1
low,0,0.99,3,259,0
medium,0,0.78,6,253,0
medium,0,0.92,2,191,0
medium,0,0.79,2,147,0
low,0,0.55,3,158,0
low,0,0.98,3,136,0
medium,1,0.99,3,193,0
low,0,0.72,5,256,1
medium,0,0.72,3,222,0
medium,0,0.19,3,226,0
medium,1,0.77,10,190,0
low,1,0.6,2,264,0
high,1,0.79,3,146,0
low,0,0.27,5,177,0
medium,0,0.6,5,137,0
medium,0,0.72,3,160,0
low,0,0.6,4,271,0
low,0,0.11,4,245,1
medium,0,0.5,3,166,0
low,0,0.97,4,237,0
medium,1,0.66,3,257,0
high,0,0.66,3,166,0
medium,0,0.42,3,159,1
low,0,0.52,2,165,0
low,0,0.79,6,191,0
high,0,0.44,4,104,0
low,1,0.4,4,204,0
low,0,0.75,5,239,1
low,0,0.39,3,129,1
low,0,0.69,4,105,0
high,0,0.5,3,222,0
medium,0,0.57,6,268,0
high,0,0.69,4,140,0
medium,0,0.68,2,238,0
low,0,0.72,5,251,1
medium,1,0.23,5,274,0
medium,0,0.2,6,180,0
high,0,0.95,2,161,0
medium,0,0.63,3,252,0
low,0,0.93,3,147,0
low,0,0.96,3,163,0
low,0,0.48,3,272,0
medium,0,0.9,3,240,0
low,0,0.52,3,253,0
low,0,0.7,2,151,0
low,0,0.73,5,249,1
low,0,0.65,3,248,0
medium,0,0.75,3,269,0
low,0,0.38,3,137,1
medium,0,0.98,2,203,0
low,0,0.12,5,191,0
low,0,0.96,2,240,0
low,0,0.85,3,264,0
high,1,0.97,5,168,0
high,1,0.61,2,160,0
medium,0,0.87,3,202,0
medium,0,0.5,6,286,0
medium,0,0.62,4,263,0
low,1,0.8,2,248,0
medium,1,0.19,3,126,0
medium,0,0.94,2,151,0
medium,0,0.94,2,143,0
medium,0,1.0,4,257,0
low,1,0.58,3,211,0
medium,0,0.37,3,134,1
high,0,0.69,3,237,0
high,0,0.15,5,249,0
low,0,0.11,4,302,1
high,0,0.7,4,245,0
medium,0,0.2,5,237,0
low,0,0.65,3,136,0
medium,0,0.8,4,134,0
medium,0,0.15,2,195,0
high,0,0.49,2,225,0
low,0,0.09,5,283,1
medium,0,0.79,2,222,0
low,0,0.75,2,143,0
low,0,0.6,3,140,0
high,0,0.99,2,241,0
high,0,0.2,6,212,0
low,0,0.59,3,272,0
low,0,0.5,2,195,0
medium,0,0.97,2,147,0
high,0,0.61,3,252,0
medium,0,0.89,3,275,0
low,0,0.78,5,253,1
low,0,0.66,4,173,0
low,0,0.76,3,195,0
high,0,0.66,3,248,0
medium,0,0.99,3,163,0
low,0,0.51,4,180,0
medium,0,0.14,3,226,0
medium,0,0.43,3,144,1
medium,0,0.61,3,149,0
low,0,0.96,4,224,0
low,0,0.4,3,136,1
low,0,0.72,3,143,0
low,1,0.23,4,204,1
low,0,0.7,3,138,0
medium,0,0.83,4,143,0
medium,0,0.42,2,183,0
low,0,0.84,5,234,1
low,0,0.53,3,259,0
low,0,0.78,3,154,0
medium,0,0.73,2,208,0
medium,0,0.74,5,147,0
medium,0,0.24,7,281,0
low,0,0.53,2,162,0
low,0,0.55,3,251,0
low,0,0.56,3,273,0
low,0,0.91,2,196,0
low,0,0.59,5,155,1
medium,0,0.59,4,217,0
medium,0,0.89,5,165,0
low,0,0.7,3,178,0
low,0,0.18,4,249,0
high,0,0.52,2,160,0
medium,0,0.72,3,156,0
medium,0,0.99,2,181,0
medium,0,0.44,3,130,1
low,1,0.92,3,184,0
low,0,0.43,3,140,1
medium,0,0.66,6,135,0
low,0,0.78,4,221,0
medium,0,0.86,2,158,0
low,0,0.76,3,258,0
low,0,0.45,3,126,1
low,0,0.1,4,274,1
medium,0,0.44,6,250,0
low,0,0.53,4,143,0
high,0,0.17,6,267,0
medium,0,0.37,6,173,0
low,0,0.68,3,161,0
low,0,0.86,3,162,0
low,0,0.44,3,140,1
low,0,0.62,3,163,0
low,0,0.52,3,170,0
medium,0,0.69,2,168,0
low,0,0.56,3,134,0
low,0,0.85,3,139,0
low,0,0.42,3,159,1
low,0,0.42,2,156,0
low,0,0.18,4,225,0
low,0,0.36,4,166,0
low,0,0.77,3,204,0
medium,1,0.49,3,176,0
low,0,0.74,4,200,0
low,1,0.53,4,207,0
medium,0,0.53,3,201,0
high,0,0.8,3,176,0
medium,0,0.42,3,134,1
medium,0,0.86,3,177,0
medium,0,0.81,2,134,0
low,0,0.27,6,133,0
medium,0,0.23,4,242,0
medium,0,0.57,3,257,0
high,1,0.6,2,191,0
low,0,0.61,2,265,0
medium,0,0.53,3,214,0
low,0,0.58,2,100,0
medium,0,0.43,3,158,1
medium,0,0.72,3,258,0
low,0,0.72,2,195,0
low,0,0.49,2,177,0
medium,0,0.98,3,211,0
medium,0,0.79,3,273,0
medium,1,0.61,4,152,0
medium,0,0.38,3,131,1
medium,0,0.54,4,264,0
low,0,0.79,3,221,0
medium,0,0.34,3,141,0
medium,1,0.56,2,191,0
medium,0,0.77,6,261,1
medium,0,0.86,3,179,0
low,0,0.1,4,276,1
low,0,0.93,2,257,0
medium,0,0.09,4,250,1
medium,0,0.58,2,124,0
high,0,0.88,3,179,0
low,1,0.72,3,223,0
low,1,0.78,3,174,0
medium,0,0.7,3,182,0
medium,0,0.27,6,217,0
low,0,0.37,3,168,0
low,0,0.83,4,273,0
low,0,0.74,3,158,0
medium,1,0.74,3,215,0
low,1,0.94,5,197,0
medium,1,0.62,2,108,0
low,0,0.4,2,280,0
high,0,0.5,2,259,0
medium,0,0.64,4,213,0
medium,0,0.97,3,162,0
medium,0,0.35,6,151,0
low,0,0.28,6,275,0
low,0,0.53,10,223,0
low,1,0.85,2,150,0
medium,0,0.13,4,244,0
low,0,0.69,2,154,0
medium,1,0.78,4,202,0
low,0,0.67,4,234,0
low,0,0.86,5,229,1
low,0,0.55,3,214,0
low,0,0.16,2,240,0
low,0,0.67,6,178,0
low,0,0.7,2,194,0
low,1,0.65,2,240,0
medium,0,0.54,4,193,0
low,0,0.11,4,296,1
low,0,0.57,4,248,0
low,0,0.97,4,157,0
low,1,0.99,2,135,0
high,0,0.77,3,223,0
low,0,0.98,3,240,0
low,0,0.72,2,144,0
medium,0,0.79,3,145,0
high,0,0.96,2,209,0
high,0,0.49,3,145,0
medium,0,0.11,4,305,1
low,0,0.43,3,134,1
low,1,0.95,3,267,0
low,0,0.42,3,159,1
low,0,0.94,3,203,0
low,0,0.37,3,141,1
low,0,0.73,5,121,0
low,0,0.51,3,141,0
low,0,0.71,3,204,0
medium,0,0.51,2,224,0
medium,0,0.22,5,255,0
low,0,0.43,3,146,1
high,1,0.92,3,243,0
medium,0,0.97,2,272,0
medium,1,0.52,4,249,0
low,0,0.87,3,173,0
medium,0,0.74,2,241,0
low,0,0.65,3,190,0
low,0,0.09,4,256,1
medium,0,0.58,2,151,0
medium,0,0.39,3,140,1
high,0,0.76,3,173,0
medium,0,0.5,2,237,0
low,0,0.37,2,183,0
medium,0,0.43,3,129,1
medium,0,0.8,3,246,0
low,1,0.18,6,238,0
medium,0,0.48,4,142,0
medium,0,0.41,3,137,1
medium,0,0.16,7,117,0
medium,0,0.97,2,150,0
medium,0,0.51,2,182,0
low,0,0.68,2,185,0
low,0,0.58,6,265,0
medium,0,0.48,5,129,0
medium,0,0.51,3,211,0
low,0,0.95,2,207,0
medium,0,0.22,5,149,0
high,0,0.61,3,142,0
medium,1,0.17,3,232,0
medium,0,0.59,3,146,0
medium,0,0.5,3,155,0
high,0,0.86,3,192,0
low,0,0.5,3,96,0
low,1,0.64,2,247,0
low,0,0.49,3,155,0
low,0,0.79,2,237,0
low,0,0.92,3,159,0
low,0,0.57,8,212,0
medium,0,0.84,2,198,0
low,0,0.97,2,149,0
medium,0,0.63,2,160,0
medium,0,0.5,3,239,0
low,0,0.78,3,157,0
low,0,0.69,3,156,0
medium,0,0.42,3,130,1
medium,1,0.5,3,208,0
low,0,0.17,3,234,0
low,0,0.51,3,164,0
low,0,0.44,3,145,1
high,1,0.61,3,199,0
low,0,0.49,3,265,0
medium,0,0.76,3,149,0
low,0,0.64,3,169,0
low,0,0.86,2,215,0
medium,0,0.92,2,228,0
high,0,0.49,3,158,0
medium,0,0.1,4,309,1
low,0,0.92,5,307,1
low,0,0.11,4,273,1
low,0,0.61,3,243,0
medium,0,0.36,3,132,1
medium,0,0.65,5,131,0
low,0,0.72,2,211,0
medium,0,0.8,3,251,0
low,0,1.0,3,174,0
low,0,0.69,3,271,0
medium,0,0.82,6,263,1
medium,0,0.77,5,272,1
medium,0,0.82,5,223,1
medium,0,0.61,3,260,0
medium,0,0.89,4,183,0
medium,0,0.49,2,147,0
medium,0,0.66,2,186,0
high,0,0.34,2,283,0
medium,0,0.87,2,139,0
low,0,0.97,3,207,0
low,0,0.91,2,193,0
low,1,0.84,6,114,0
low,0,0.72,2,248,0
low,0,0.65,4,171,0
low,0,0.42,3,157,1
low,1,0.2,6,282,0
medium,0,0.83,3,156,0
low,0,0.6,2,242,0
medium,0,0.69,3,149,0
high,0,0.44,3,178,0
medium,0,0.72,6,286,0
medium,0,0.38,3,111,0
medium,0,0.61,2,245,0
medium,1,0.49,3,144,0
medium,0,0.81,3,213,0
medium,0,0.57,2,202,0
low,0,0.84,5,256,1
low,0,0.65,4,223,0
low,0,0.63,3,201,0
low,0,0.72,4,197,0
low,1,0.56,2,239,0
low,0,0.79,2,195,0
low,0,0.1,4,274,1
low,0,0.79,4,104,0
low,0,0.67,4,213,0
low,0,0.58,3,226,0
medium,0,0.65,2,270,0
low,0,0.68,4,260,0
medium,0,0.59,2,178,0
low,0,0.67,3,254,0
high,0,0.48,2,184,0
low,0,0.68,3,257,0
medium,0,0.86,6,250,1
medium,1,0.69,3,152,0
medium,0,0.78,3,219,0
low,0,0.58,3,165,0
medium,1,0.5,3,233,0
medium,0,0.83,5,269,1
low,0,0.75,3,195,0
low,1,0.61,2,162,0
low,0,0.73,2,149,0
low,1,0.75,3,173,0
low,0,0.72,2,238,0
medium,0,0.3,2,150,0
medium,0,0.61,3,233,0
medium,0,0.1,4,300,1
medium,0,0.6,3,249,0
low,1,0.93,3,156,0
medium,0,0.57,2,238,0
low,0,0.39,3,146,1
low,0,0.11,4,244,1
low,0,0.51,3,140,0
medium,0,0.2,5,169,0
low,0,0.85,3,174,0
medium,0,0.62,3,171,0
low,0,0.56,2,216,0
low,0,0.99,4,240,0
low,0,0.74,2,180,0
medium,0,0.85,3,157,0
low,0,0.55,2,193,0
medium,0,0.98,4,263,0
low,1,0.41,3,156,1
medium,0,0.7,3,208,0
high,0,0.77,3,204,0
low,1,0.78,3,197,0
medium,0,0.3,2,158,0
low,0,0.62,3,268,0
low,0,0.78,2,273,0
low,0,0.43,3,153,1
low,0,0.97,2,209,0
low,0,0.84,3,208,0
medium,0,0.14,5,291,1
low,0,0.8,3,178,0
low,0,0.82,5,239,1
low,0,0.68,3,146,0
low,0,0.87,3,201,0
medium,0,0.97,3,193,0
medium,0,0.8,2,189,0
medium,0,0.13,4,154,0
medium,0,0.61,3,160,0
low,0,0.78,3,158,0
low,1,0.55,4,187,0
medium,1,0.87,2,178,0
low,0,0.58,2,249,0
medium,0,0.57,4,206,0
low,1,0.41,3,153,1
low,0,0.15,6,216,0
medium,0,0.95,4,224,0
low,0,1.0,3,261,0
low,0,0.11,4,282,1
low,0,0.41,3,154,1
low,0,0.73,3,184,0
low,0,0.48,3,173,0
medium,0,1.0,5,171,0
medium,0,0.78,2,222,0
medium,0,0.96,3,212,0
low,1,0.9,5,233,0
low,0,0.37,3,153,1
medium,1,0.36,5,113,0
low,0,0.86,5,238,0
high,0,0.7,2,159,0
medium,0,0.73,8,216,0
low,0,0.96,2,168,0
medium,0,0.55,4,267,0
low,0,0.42,2,126,0
medium,1,0.93,4,205,0
low,0,0.55,3,191,0
low,0,0.69,3,156,0
medium,0,0.58,7,207,0
low,1,0.53,3,241,0
low,0,0.54,3,202,0
medium,1,0.64,3,192,0
low,0,0.67,4,149,0
medium,0,0.83,2,159,0
low,0,0.51,2,168,0
low,0,0.78,2,167,0
medium,0,0.29,5,98,0
medium,1,0.6,2,207,0
medium,0,0.13,5,160,0
medium,0,0.11,4,288,1
high,0,0.38,3,170,0
low,0,0.53,3,247,0
low,0,0.61,2,157,0
low,0,0.51,3,134,1
low,1,0.59,3,143,0
medium,0,0.76,3,248,0
low,0,0.95,2,169,0
low,1,0.67,3,247,0
low,0,0.95,10,223,0
medium,0,0.89,5,275,1
medium,1,0.66,2,185,0
medium,1,0.63,3,271,0
low,0,0.88,6,234,1
low,0,0.52,3,257,0
low,0,0.32,3,151,0
low,0,0.89,3,134,0
high,0,0.96,5,156,0
low,0,1.0,4,201,0
low,0,0.1,4,255,1
low,0,0.36,2,276,0
low,0,0.76,5,263,1
medium,0,0.78,3,172,0
medium,1,0.75,4,176,0
high,0,0.79,3,244,0
high,0,0.75,4,133,0
low,1,0.62,3,178,0
low,0,0.6,3,236,0
medium,1,0.66,3,159,0
medium,0,0.84,3,259,0
medium,0,0.98,4,253,0
low,0,0.94,3,171,0
medium,0,0.99,3,208,0
medium,0,0.65,3,204,0
medium,0,0.86,3,244,0
medium,0,0.31,3,149,1
medium,1,0.61,3,275,0
low,0,0.41,3,148,1
high,0,0.62,3,191,0
medium,0,0.24,3,232,0
low,1,0.62,4,225,0
low,1,0.52,2,251,0
low,1,0.49,4,213,0
low,1,0.14,4,158,1
high,0,0.7,3,157,0
medium,0,0.58,2,202,0
low,0,0.96,3,166,0
medium,0,0.58,3,212,0
low,0,0.59,5,160,1
medium,0,0.57,3,218,0
high,0,0.93,3,188,0
low,1,0.87,2,246,0
low,0,0.8,6,186,0
low,1,0.67,2,141,0
low,1,0.84,3,151,0
low,0,0.88,3,163,0
medium,0,0.7,3,267,0
medium,0,0.61,2,243,0
low,0,0.91,2,171,0
medium,0,0.66,4,234,0
medium,0,0.86,2,182,0
low,0,0.53,3,231,0
high,0,0.66,4,211,0
medium,1,0.96,6,239,0
medium,0,1.0,2,231,0
medium,0,0.79,3,200,0
medium,0,0.89,2,224,0
medium,0,0.5,8,144,0
low,0,0.61,3,271,0
medium,0,0.36,3,146,1
medium,1,0.24,4,226,0
low,0,0.74,3,257,0
low,0,0.4,3,141,1
low,1,0.54,3,229,0
low,1,0.98,3,221,0
high,0,0.96,2,111,0
low,0,0.84,5,237,1
low,0,0.76,3,220,0
medium,0,0.68,3,259,0
medium,0,0.65,4,157,0
medium,0,0.88,2,237,0
medium,0,0.92,5,265,1
low,0,0.72,3,181,0
low,0,0.55,3,191,0
low,1,0.58,3,234,0
high,0,0.16,6,280,0
low,0,0.9,4,147,0
medium,0,0.88,2,219,0
medium,0,0.46,2,139,0
low,0,0.78,6,271,1
medium,0,0.67,3,227,0
low,1,0.99,3,131,0
low,0,0.91,3,212,0
low,0,0.9,3,257,0
medium,0,0.5,5,201,0
low,0,0.43,3,128,1
medium,0,0.88,3,125,0
low,0,0.63,3,177,0
low,0,0.56,3,174,0
medium,0,0.26,5,168,0
low,1,0.67,3,177,0
medium,0,0.57,3,207,0
high,0,0.86,3,247,0
high,0,0.93,2,270,0
low,0,0.31,5,135,1
low,1,0.56,2,188,0
medium,0,0.54,2,169,0
medium,0,0.29,4,162,0
medium,1,0.87,5,258,1
medium,0,0.51,2,258,0
low,0,0.78,3,139,0
low,0,0.57,3,265,0
low,0,0.57,4,108,0
low,0,0.82,3,180,0
medium,0,0.4,3,143,1
medium,0,0.52,3,264,0
medium,0,0.95,3,216,0
medium,0,0.51,4,147,0
medium,0,0.61,3,171,0
medium,0,0.4,5,173,0
medium,0,0.81,2,224,0
low,1,0.64,2,274,0
medium,1,0.5,2,237,0
medium,1,0.92,6,226,1
medium,0,0.1,4,294,1
low,0,0.37,3,157,1
medium,0,0.33,2,183,0
low,0,0.86,2,167,0
low,0,0.54,3,227,0
high,0,0.87,4,236,0
medium,0,0.6,2,214,0
medium,0,0.29,5,191,0
low,0,0.79,3,223,0
low,0,0.75,3,177,0
medium,0,0.56,3,260,0
medium,0,0.76,3,183,0
low,1,0.75,3,237,0
medium,1,0.11,4,266,1
low,1,0.83,3,266,0
medium,0,0.8,2,136,0
medium,0,0.91,3,137,0
high,0,0.19,3,158,0
low,0,0.47,3,133,1
low,0,0.53,2,192,0
medium,0,0.5,3,267,0
medium,0,0.75,6,253,0
low,0,0.84,5,242,1
medium,0,0.61,2,247,0
low,0,0.89,3,152,0
low,0,0.77,2,189,0
medium,0,0.18,6,241,0
low,0,0.5,5,275,0
low,0,0.89,5,266,1
medium,1,0.84,2,246,0
high,1,0.33,3,274,0
low,0,0.1,4,290,1
low,0,0.5,3,183,0
low,0,0.6,4,203,0
medium,0,0.71,4,238,0
medium,1,0.66,3,202,0
medium,1,0.42,7,259,0
low,0,0.67,3,165,0
medium,0,0.8,3,175,0
medium,0,0.72,3,197,0
low,1,0.64,3,165,0
low,0,0.89,3,223,0
medium,0,0.88,2,248,0
low,0,0.83,2,192,0
low,0,0.5,5,272,0
low,1,0.53,3,223,0
medium,0,0.86,2,141,0
low,0,0.62,2,140,0
medium,1,0.67,3,214,0
low,0,0.42,3,146,1
medium,0,0.68,3,227,0
medium,0,0.37,3,132,1
medium,0,0.53,2,199,0
high,0,0.93,4,241,0
low,0,0.81,3,231,0
low,0,0.83,3,226,0
medium,0,0.55,4,184,0
low,0,0.51,3,161,0
low,1,0.36,2,116,0
medium,0,0.71,3,137,0
high,0,0.74,10,266,0
low,0,0.09,4,271,1
medium,1,0.94,3,185,0
low,0,0.45,3,154,1
medium,0,0.77,2,171,0
low,1,0.7,3,150,0
medium,0,0.28,4,139,0
medium,0,0.6,4,164,0
low,1,0.96,2,217,0
medium,0,0.96,3,260,0
medium,0,0.71,5,287,0
medium,0,0.4,3,138,1
low,0,0.95,3,285,0
low,0,0.52,3,226,0
low,0,0.21,4,243,0
low,0,0.73,3,167,0
low,1,0.64,2,180,0
medium,1,0.53,3,201,0
medium,0,0.94,2,145,0
high,0,0.99,3,261,0
low,0,0.19,5,200,0
low,0,0.63,10,186,0
low,1,0.69,2,231,0
low,1,0.43,3,151,1
medium,0,0.16,4,178,0
low,0,0.55,2,237,0
low,0,0.33,4,271,0
medium,0,0.99,3,133,0
low,0,0.54,3,153,0
low,0,0.17,4,184,0
low,0,0.82,2,164,0
low,0,0.58,5,287,0
low,0,0.86,2,227,0
medium,0,0.69,3,233,0
medium,0,0.57,4,156,0
medium,0,0.84,4,246,0
medium,1,0.98,2,134,0
low,0,0.84,2,227,0
medium,0,0.92,2,164,0
low,0,0.98,2,150,0
high,0,0.19,2,154,0
medium,0,0.88,3,275,0
medium,0,0.53,6,192,0
low,0,0.4,3,159,1
medium,0,0.69,2,198,0
medium,1,0.53,10,221,0
low,1,0.3,4,109,0
low,0,0.37,3,160,1
medium,0,0.16,4,257,0
medium,0,0.64,3,215,0
low,1,0.99,2,140,0
medium,0,0.88,3,170,0
medium,1,0.93,3,135,0
medium,0,0.48,3,160,0
low,0,0.73,2,139,0
medium,0,0.12,3,257,0
medium,0,0.97,2,257,0
low,0,0.55,4,197,0
low,0,0.44,3,156,1
medium,0,0.1,4,254,1
low,1,0.53,3,163,0
low,0,0.77,6,263,0
low,0,0.75,3,234,0
low,0,0.49,2,175,0
medium,0,0.77,3,140,0
low,1,0.51,3,169,0
low,0,0.78,2,206,0
low,0,0.9,3,220,0
medium,0,0.92,2,177,0
high,0,0.79,3,161,0
medium,0,0.75,3,230,0
low,0,0.73,5,252,1
medium,0,0.45,3,131,1
medium,0,0.86,4,136,0
medium,0,0.67,8,241,0
low,0,0.43,3,180,0
low,0,0.63,2,214,0
low,0,0.54,3,132,0
medium,0,0.63,6,212,0
low,0,0.43,3,135,1
medium,0,0.58,3,159,0
low,1,0.76,3,193,0
low,0,0.84,4,153,0
low,1,0.87,2,158,0
medium,0,0.89,5,253,1
low,0,0.6,2,275,0
medium,0,0.4,6,252,0
medium,0,0.85,3,156,0
high,0,0.65,2,167,0
low,0,0.64,2,253,0
medium,1,0.43,3,127,0
medium,1,0.62,2,151,0
low,0,0.38,3,140,1
medium,0,0.21,4,215,0
low,0,0.09,5,274,1
medium,0,0.9,2,237,0
low,0,1.0,3,142,0
high,0,0.84,2,261,0
medium,0,0.4,3,155,1
low,0,0.94,3,229,0
medium,0,0.53,2,249,0
low,0,0.63,4,228,0
medium,0,0.97,2,200,0
medium,0,0.67,3,248,0
medium,0,0.95,2,228,0
low,0,0.42,4,108,0
low,0,0.65,2,141,0
low,0,0.41,2,182,0
medium,1,0.57,6,138,0
medium,1,0.43,3,154,1
low,0,0.42,3,137,1
low,0,0.32,4,280,1
low,0,0.95,2,158,0
low,0,0.5,3,137,0
medium,0,0.97,3,237,0
low,0,0.93,4,268,0
low,0,0.48,10,150,0
